rank,stadium,capacity,city,state,year opened,type,tenant,location
413,Jerry Comalander Stadium,10000,San Antonio,Texas,,"Football, soccer","
","[29.5490742, -98.4677077476]"
414,"Nathaniel ""Traz"" Powell Stadium",10000,Miami,Florida,,Football,"
","[25.8777778, -80.2441667]"
415,Sams Memorial Stadium,10000,Brownsville,Texas,,"Football, soccer","
","[25.91241625, -97.5069764672]"
416,Waller ISD Stadium,10000,Waller,Texas,,Football,"
","[30.0752988, -95.9130403]"
417,Rip Hewes Stadium,10000,Dothan,Alabama,,multipurpose,"
","[31.20578855, -85.4031217948]"
418,Withington Stadium,10000,Jackson,Michigan,,multipurpose,"
","[42.2416466, -84.425589]"
419,Kingston Stadium,10000,Cedar Rapids,Iowa,1952,"Football, soccer","
","[41.9674074, -91.6901137992]"
420,Suplizio Field,10000,Grand Junction,Colorado,1949,Baseball,"Grand Junction Jackalopes (Pioneer)
","[39.07633865, -108.5500709427]"
421,Houck Stadium,10000,Cape Girardeau,Missouri,1930,Football,"Southeast Missouri State Redhawks (NCAA)
","[37.30948395, -89.5312125693]"
422,Reitz Bowl,10000,Evansville,Indiana,,Football,"
","[37.970495, -87.5715641]"
